contact_id,account_id,email,job_title,created_date,lead_id_source,hubspot_contact_id,salesforce_contact_id,email_opt_in,persona
CON000001,ACC000294,jamie.young2989@keystonenetworks6.co,RevOps Manager,2025-08-29,LED002989,,SFCON000001,True,Technical Buyer
CON000002,ACC000580,jordan.james1402@summithealth69.io,Marketing Director,2025-05-21,LED001402,HS200002,SFCON000002,False,Champion
CON000003,ACC000619,maya.wright3146@nimbusdynamics49.com,Sales Ops Analyst,2026-01-23,LED003146,,SFCON000003,False,Influencer
CON000004,ACC000325,taylor.patel107@keystonecloud.co,Sales Manager,2025-12-29,LED000107,HS200004,SFCON000004,True,Influencer
CON000005,ACC000092,parker.carter1161@ironwoodsoftware.ai,Sales Manager,2025-10-17,LED001161,HS200005,SFCON000005,True,Influencer
CON000006,ACC000486,rowan.gray2822@vertexplatform6.co,VP Sales,2026-06-28,LED002822,HS200006,SFCON000006,True,Champion
CON000007,ACC000056,bailey.murphy3683@nimbusmarkets25.net,Operations Director,2026-03-17,LED003683,HS200007,SFCON000007,True,Champion
CON000008,ACC000086,charlie.king2563@vertexmarkets10.com,Sales Ops Analyst,2025-03-26,LED002563,HS200008,SFCON000008,False,Champion
CON000009,ACC000601,alex.brooks2614@summitmarkets88.co,Sales Manager,2025-11-03,LED002614,HS200009,SFCON000009,True,Technical Buyer
CON000010,ACC000605,morgan.miller1271@northstarsolutions.ai,Sales Ops Analyst,2026-06-07,LED001271,HS200010,SFCON000010,False,Procurement
CON000011,ACC000422,casey.carter2348@bluepeakanalytics3.net,Demand Gen Manager,2026-06-20,LED002348,HS200011,,True,Influencer
CON000012,ACC000155,logan.perry3247@bluepeakplatform.co,IT Admin,2025-10-17,LED003247,HS200012,SFCON000012,True,Economic Buyer
CON000013,ACC000380,alex.nelson4019@bluepeakgroup78.co,Marketing Director,2026-02-16,LED004019,HS200013,SFCON000013,False,Influencer
CON000014,ACC000439,avery.reed1784@signaldata41.co,VP Sales,2025-05-21,LED001784,HS200014,SFCON000014,True,Influencer
CON000015,ACC000042,riley.patel4070@nimbusnetworks.co,IT Admin,2025-10-27,LED004070,HS200015,SFCON000015,True,Economic Buyer
