Email,First name,Last name,Company name,HubSpot Contact ID (synthetic),Salesforce Lead ID,Lead Source,Imported Funnel Stage,Lead Score,Industry,Segment,Region,Created Date,MQL Date,SQL Date,Form Submissions,Avg Conversion Score,Last Form Submission,Most Common Form,Email Sent Events,Email Delivered Events,Email Open Events,Email Click Events,Email Bounce Events,Email Unsubscribe Events
skyler.patel1884@cobaltops.com,Skyler,Patel,Cobalt Ops,HS101884,SFLED001884,LinkedIn,Subscriber,22,EdTech,SMB,Northeast,4/28/2026,,,3,28.33333333,6/30/2026,Contact Us,0,3,0,0,0,0
taylor.bennett2796@novamarkets.com,Taylor,Bennett,Nova Markets,HS102796,SFLED002796,LinkedIn,MQL,63,Healthcare Tech,Enterprise,Central,3/25/2026,3/29/2026,,1,78,5/14/2026,Contact Us,0,3,0,0,0,0
riley.adams3857@keystoneops.ai,Riley,Adams,Keystone Ops,HS103857,SFLED003857,Referral,Subscriber,35,SaaS,Enterprise,International,4/1/2026,,,3,52,5/20/2026,Contact Us,0,1,0,0,0,0
casey.carter1603@bluepeakworks.com,Casey,Carter,BluePeak Works,HS101603,SFLED001603,Content Download,Lead,47,HR Tech,SMB,Central,9/11/2025,,,2,37,10/30/2025,CRM Audit,0,3,0,0,0,0
avery.ross3090@summitdynamics86.ai,Avery,Ross,Summit Dynamics 86,HS103090,SFLED003090,Paid Search,Lead,41,FinTech,Mid-Market,International,4/14/2025,,,1,58,6/9/2025,Demo Request,0,6,0,0,0,0
blake.nelson502@pioneerhealth24.net,Blake,Nelson,Pioneer Health 24,HS100502,SFLED000502,Partner,Disqualified,26,EdTech,Enterprise,Northeast,11/27/2025,,,1,11,1/19/2026,RevOps Playbook,0,2,0,0,0,0
cameron.torres551@northstarcloud.net,Cameron,Torres,Northstar Cloud,HS100551,SFLED000551,Paid Search,Lead,45,EdTech,Enterprise,West,12/17/2025,,,3,27,2/17/2026,Webinar Registration,0,2,0,0,0,0
drew.foster2816@vertexsolutions20.com,Drew,Foster,Vertex Solutions 20,HS102816,SFLED002816,Event,Lead,46,SaaS,Mid-Market,Mountain,2/4/2025,,,0,0,,,0,3,0,0,0,0
morgan.kim141@summitanalytics.net,Morgan,Kim,Summit Analytics,HS100141,SFLED000141,Organic Search,Lead,32,HR Tech,Mid-Market,Northeast,6/30/2026,,,1,70,6/30/2026,CRM Audit,0,3,0,0,0,0
reese.perry3388@vertexmarkets87.com,Reese,Perry,Vertex Markets 87,HS103388,,Partner,Lead,38,HR Tech,Mid-Market,Southeast,5/2/2026,,,1,38,5/5/2026,CRM Audit,0,1,0,0,0,0
cameron.ward1879@novanetworks81.co,Cameron,Ward,Nova Networks 81,HS101879,SFLED001879,Paid Search,Lead,17,Ecommerce,Enterprise,West,6/15/2025,,,0,0,,,0,3,0,0,0,0
avery.young2045@evergreenops.net,Avery,Young,Evergreen Ops,HS102045,SFLED002045,LinkedIn,Lead,46,SaaS,Enterprise,Central,12/26/2025,,,2,53,1/24/2026,CRM Audit,0,2,0,0,0,0
riley.ward3043@evergreensystems95.co,Riley,Ward,Evergreen Systems 95,HS103043,SFLED003043,Webinar,Lead,11,HR Tech,Enterprise,Southeast,3/3/2026,,,1,25,3/14/2026,Webinar Registration,0,4,0,0,0,0
casey.price3954@evergreenops.net,Casey,Price,Evergreen Ops,HS103954,SFLED003954,Webinar,Subscriber,55,SaaS,Enterprise,Central,6/29/2026,,,1,38,6/29/2026,HubSpot-SFDC Checklist,0,3,0,0,0,0
sam.nelson1281@pioneerdata32.net,Sam,Nelson,Pioneer Data 32,HS101281,SFLED001281,Content Download,Lead,31,HR Tech,SMB,West,12/15/2025,,,0,0,,,0,2,0,0,0,0
quinn.chen1276@bluepeaknetworks.ai,Quinn,Chen,BluePeak Networks,HS101276,SFLED001276,Paid Search,Lead,19,Ecommerce,SMB,Central,9/7/2025,,,0,0,,,0,2,0,0,0,0
logan.bell2267@atlasdata82.io,Logan,Bell,Atlas Data 82,HS102267,SFLED002267,Event,MQL,65,FinTech,Mid-Market,International,6/9/2026,6/18/2026,,0,0,,,0,1,0,0,0,0
elliot.chen866@catalysthealth65.io,Elliot,Chen,Catalyst Health 65,HS100866,SFLED000866,Organic Search,Lead,41,Ecommerce,Enterprise,International,6/29/2026,,,0,0,,,0,3,0,0,0,0
taylor.james4126@cobaltlabs.com,Taylor,James,Cobalt Labs,HS104126,SFLED004126,LinkedIn,Lead,16,EdTech,SMB,Mountain,4/10/2026,,,2,32,6/2/2026,Contact Us,0,0,0,0,0,0
casey.james2316@keystonelabs37.io,Casey,James,Keystone Labs 37,HS102316,SFLED002316,Webinar,Lead,77,FinTech,Mid-Market,Mountain,9/14/2025,,,1,78,9/29/2025,RevOps Playbook,0,2,0,0,0,0
kendall.bell3685@apexsolutions28.io,Kendall,Bell,Apex Solutions 28,HS103685,SFLED003685,Content Download,Lead,79,Healthcare Tech,SMB,Central,1/18/2025,,,3,54.33333333,3/14/2025,Contact Us,0,4,0,0,0,0
parker.miller160@summitmarkets88.co,Parker,Miller,Summit Markets 88,HS100160,SFLED000160,Direct,Lead,0,Logistics Tech,Mid-Market,Mountain,5/20/2025,,,2,34.5,7/7/2025,Contact Us,0,2,0,0,0,0
morgan.price2256@vertexworks.io,Morgan,Price,Vertex Works,,SFLED002256,Content Download,Lead,49,Ecommerce,Mid-Market,Northeast,3/30/2025,,,3,60.33333333,5/18/2025,CRM Audit,0,3,0,0,0,0
quinn.gray3199@pioneercloud88.ai,Quinn,Gray,Pioneer Cloud 88,HS103199,SFLED003199,Organic Search,Lead,37,Logistics Tech,Mid-Market,Southeast,2/27/2025,,,3,45.66666667,4/16/2025,Contact Us,0,1,0,0,0,0
morgan.perry1997@summitmarkets88.co,Morgan,Perry,Summit Markets 88,HS101997,SFLED001997,Outbound,Lead,55,Logistics Tech,Mid-Market,Mountain,10/4/2025,,,0,0,,,0,1,0,0,0,0
taylor.long906@ironwoodnetworks73.io,Taylor,Long,Ironwood Networks 73,HS100906,SFLED000906,Outbound,Lead,7,Logistics Tech,Mid-Market,Central,4/9/2026,,,1,66,5/21/2026,Contact Us,0,3,0,0,0,0
avery.adams457@signalworks47.com,Avery,Adams,Signal Works 47,HS100457,SFLED000457,Organic Search,SQL,61,Ecommerce,Mid-Market,Central,4/12/2026,5/4/2026,5/6/2026,0,0,,,0,3,0,0,0,0
alex.davis3927@summitplatform86.net,Alex,Davis,Summit Platform 86,HS103927,SFLED003927,Content Download,Lead,59,Ecommerce,Enterprise,Northeast,3/16/2026,,,3,49.33333333,5/13/2026,CRM Audit,0,4,0,0,0,0
drew.wright3@meridiansoftware.io,Drew,Wright,Meridian Software,HS100003,SFLED000003,Webinar,Lead,39,FinTech,Enterprise,Southeast,3/18/2026,,,0,0,,,0,1,0,0,0,0
casey.kim3620@atlassolutions55.co,Casey,Kim,Atlas Solutions 55,HS103620,SFLED003620,Partner,Lead,47,Logistics Tech,SMB,Mountain,3/13/2026,,,1,47,4/8/2026,RevOps Playbook,0,2,0,0,0,0
